"BehaviorSpace results (NetLogo 5.2.0)"
"Ant2.nlogo"
"Unit1BegExp1"
"07/18/2015 16:44:55:293 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population","max-step-size","max-turn-angle","[step]","ticks"
"928","50","4","60","357","357"
"930","50","4","60","285","285"
"929","50","4","60","442","442"
"931","50","4","60","359","359"
"932","50","4","60","431","431"
"933","50","4","60","420","420"
"935","50","4","60","386","386"
"934","50","4","60","388","388"
"936","50","4","60","389","389"
"937","50","4","60","363","363"
"938","50","4","60","598","598"
"939","50","4","60","394","394"
"940","50","4","60","373","373"
"942","50","4","60","434","434"
"941","50","4","60","354","354"
"943","50","4","60","442","442"
"944","50","4","60","340","340"
"945","50","4","60","381","381"
"947","50","4","60","351","351"
"946","50","4","60","445","445"
"948","50","4","60","457","457"
"949","50","4","60","390","390"
